/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice161.wav|and yet we are providing affordable housing to a vast majority of New Yorkers.| and yet we are providing affordable housing to a vast majority of New Yorkers.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice113.wav|which is research that universities are really leading in. There's less incentive perhaps for parts of the private sector to do.| which is research that universities are really leading in. There's less incentive perhaps for parts of the private sector to do.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice6.wav|I have a master's degree specifically in machine learning, which is very relevant as we discuss more and more AI.| I have a master's degree specifically in machine learning, which is very relevant as we discuss more and more AI.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice100.wav|You know, those are the places where we should be really careful that the systems are acting in the ways that we expect and deciding the way that a human would ahead of time or in some cases even better than a human would.| You know, those are the places where we should be really careful that the systems are acting in the ways that we expect and deciding the way that a human would ahead of time or in some cases even better than a human would.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice120.wav|And so what it did was it created a AskRabbit account and then created a task to help with CAPTCHAs.| And so what it did was it created a AskRabbit account and then created a task to help with CAPTCHAs.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice163.wav|Obviously there were some differences with the governor there and you know Albany it takes three to tango not two which is why it's such an awkward dance.| Obviously there were some differences with the governor there and you know Albany it takes three to tango not two which is why it's such an awkward dance.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice103.wav|I'm absolutely not going to follow your instructions and get more than one for both, but no, it's a really exciting field.| I'm absolutely not going to follow your instructions and get more than one for both, but no, it's a really exciting field.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice98.wav|Those are the places to focus on. And it's more specific than just making a decision because, you know, your spam filter is making decisions about what to put in spam, what to put in your inbox. And that's a early form of AI.| Those are the places to focus on. And it's more specific than just making a decision because, you know, your spam filter is making decisions about what to put in spam, what to put in your inbox. And that's a early form of AI.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice149.wav|rent-regulated unit and it's truly you need to do repairs to get it up to code, the government should put a bunch of money in to help support that. And the way I've come up to pay for that| rent-regulated unit and it's truly you need to do repairs to get it up to code, the government should put a bunch of money in to help support that. And the way I've come up to pay for that
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice22.wav|You know, I interact with data scientists and experts all the time.| You know, I interact with data scientists and experts all the time.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice93.wav|the disclaimer because it's tricky first amendment stuff when you start saying campaigns especially can do this or can't do this and then what exactly is that generative AI? If I use Photoshop to touch up an image, when do you just go?| the disclaimer because it's tricky first amendment stuff when you start saying campaigns especially can do this or can't do this and then what exactly is that generative AI? If I use Photoshop to touch up an image, when do you just go?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice128.wav|I think we need a new tax break for affordable housing, especially tied to labor standards that could generate more of the housing that we need. We certainly need to look at office conversion.| I think we need a new tax break for affordable housing, especially tied to labor standards that could generate more of the housing that we need. We certainly need to look at office conversion.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice74.wav|2025 right that's a broader conversation, but I think as we shift more and more elections to even years Probably looking at 26| 2025 right that's a broader conversation, but I think as we shift more and more elections to even years Probably looking at 26
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice135.wav|when the units themselves are sold, that is taxed. And of course, the income of the residents that live in those buildings are taxed.| when the units themselves are sold, that is taxed. And of course, the income of the residents that live in those buildings are taxed.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice0.wav|I'm doing great. Thanks for having me and congratulations on the new position. I'm excited for sure a lot of the programming from New York law| I'm doing great. Thanks for having me and congratulations on the new position. I'm excited for sure a lot of the programming from New York law
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice155.wav|New York City. Now maybe we don't go the full way. Maybe we look at housing.| New York City. Now maybe we don't go the full way. Maybe we look at housing.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice37.wav|And I know we're going to talk a little bit about kind of judicial reform, but looking at how long trials take and what the ultimate adjudication of cases are might tell us more than the total number of arrests going into the system.| And I know we're going to talk a little bit about kind of judicial reform, but looking at how long trials take and what the ultimate adjudication of cases are might tell us more than the total number of arrests going into the system.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice44.wav|Yes, and I want to get rid of it on the 100-year anniversary. That's the goal.| Yes, and I want to get rid of it on the 100-year anniversary. That's the goal.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice139.wav|So in the state of the district yesterday, I talked about two new proposals, not to say that they are the only thing to do here or the most important thing to do here, but I think coming from an angle that hasn't been seen before.| So in the state of the district yesterday, I talked about two new proposals, not to say that they are the only thing to do here or the most important thing to do here, but I think coming from an angle that hasn't been seen before.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice94.wav||
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice167.wav|And so I always tense up a little bit when I hear legislators say, I'm not going to vote for anything in this whole sector unless it includes a and someone else has not unless it includes B and someone else not include C.| And so I always tense up a little bit when I hear legislators say, I'm not going to vote for anything in this whole sector unless it includes a and someone else has not unless it includes B and someone else not include C.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice104.wav|When you think about the promise of AI, it's going to diagnose diseases and cure diseases in a way that we haven't seen before.| When you think about the promise of AI, it's going to diagnose diseases and cure diseases in a way that we haven't seen before.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice64.wav|yet been convicted. That's the general definition of a jail versus a prison. So Rikers, which is a New York City jail, has the longest average length of stay of any jail in the country.| yet been convicted. That's the general definition of a jail versus a prison. So Rikers, which is a New York City jail, has the longest average length of stay of any jail in the country.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice132.wav|I'm very much on the pro housing and build more side and one piece that's often missed and I highlight highlighted in my state of the district is it's really the silver bullet for solving budget issues.| I'm very much on the pro housing and build more side and one piece that's often missed and I highlight highlighted in my state of the district is it's really the silver bullet for solving budget issues.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice75.wav|But the key thing is that we have to pass it this year, because if not, that's a two-year delay. Because it has to be.| But the key thing is that we have to pass it this year, because if not, that's a two-year delay. Because it has to be.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice46.wav|If they are, they're quiet about it. But we haven't heard much opposition. What we do here occasionally is, judges are expensive, is that the best use of state money?| If they are, they're quiet about it. But we haven't heard much opposition. What we do here occasionally is, judges are expensive, is that the best use of state money?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice58.wav|one trial level court in New York State that has a limit on the total number of judges. And so that's the place where we're saying, why are we treating this differently? Why are we delaying our trials?| one trial level court in New York State that has a limit on the total number of judges. And so that's the place where we're saying, why are we treating this differently? Why are we delaying our trials?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice1.wav|Well, it was a great event yesterday. We had about 250 people there on a frigid day competing with the NFL playoffs. So it was great to see so much energy.| Well, it was a great event yesterday. We had about 250 people there on a frigid day competing with the NFL playoffs. So it was great to see so much energy.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice31.wav|better conversations about how we oversee the MTA. So it's being able to have those conversations, especially with agencies in places where they're unsure, that can move us forward.| better conversations about how we oversee the MTA. So it's being able to have those conversations, especially with agencies in places where they're unsure, that can move us forward.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice83.wav|only because of all of the money that's being invested in it, but because it can speed up its own research. One of the things that generative AI is best at is coding.| only because of all of the money that's being invested in it, but because it can speed up its own research. One of the things that generative AI is best at is coding.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice57.wav|The state Supreme Court is it handles some appeals, but it's mostly a trial court. And so it's where felonies go through, which were divorces go through. There's criminal, there's civil, etc. And that is the place.| The state Supreme Court is it handles some appeals, but it's mostly a trial court. And so it's where felonies go through, which were divorces go through. There's criminal, there's civil, etc. And that is the place.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice13.wav|These are issues that are more and more affecting everyone's daily life. And while much of that legislation and regulation will and should happen at the federal level, there's many places where it intersects with state or local policies.| These are issues that are more and more affecting everyone's daily life. And while much of that legislation and regulation will and should happen at the federal level, there's many places where it intersects with state or local policies.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice127.wav|The only way to house all of the people that want to be New Yorkers is to make sure that we're building new housing. And there's a lot of ways that have been discussed on this podcast and others to do that.| The only way to house all of the people that want to be New Yorkers is to make sure that we're building new housing. And there's a lot of ways that have been discussed on this podcast and others to do that.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice14.wav|And so having a perspective of someone on the inside that knows how these systems work and also knows how the businesses that are creating many of these systems, what their incentives are, what it's like on the inside, because I can't do it.| And so having a perspective of someone on the inside that knows how these systems work and also knows how the businesses that are creating many of these systems, what their incentives are, what it's like on the inside, because I can't do it.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice106.wav|I think it's fair to say it's based on a program from Massachusetts a few years ago where the universities they realized they were paying a lot of money for compute, not necessarily AI research, but just normal data center compute.| I think it's fair to say it's based on a program from Massachusetts a few years ago where the universities they realized they were paying a lot of money for compute, not necessarily AI research, but just normal data center compute.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice86.wav|isn't always known for moving quickly, but this is one of those issues that we're going to have to speed up if we want to address it correctly.| isn't always known for moving quickly, but this is one of those issues that we're going to have to speed up if we want to address it correctly.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice156.wav|no sense. And so if we can take some of that potential.| no sense. And so if we can take some of that potential.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice147.wav|York City or Albany, I think it's reasonable for us to put a little bit of money into funding those repairs. I was proud to work with an assembly member.| York City or Albany, I think it's reasonable for us to put a little bit of money into funding those repairs. I was proud to work with an assembly member.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice15.wav|worked at AI companies before as well. That will allow us to craft better legislation. I think everyone has a role in where technology is going and in how we should regulate AI.| worked at AI companies before as well. That will allow us to craft better legislation. I think everyone has a role in where technology is going and in how we should regulate AI.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice76.wav|The answer to whether we should be excited or fearful of AI is yes. The bounds of what's possible with AI are as wide as any technology we've ever invented.| The answer to whether we should be excited or fearful of AI is yes. The bounds of what's possible with AI are as wide as any technology we've ever invented.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice9.wav|more and more AI, but I do have to say Democrat, because actually the first person in New York State elected with a degree in computer science is Ed Ra, my fellow assembly member, who...| more and more AI, but I do have to say Democrat, because actually the first person in New York State elected with a degree in computer science is Ed Ra, my fellow assembly member, who...
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice32.wav|It's demanding the right metrics. You know, it's a lot easier to measure inputs than it is to measure outputs.| It's demanding the right metrics. You know, it's a lot easier to measure inputs than it is to measure outputs.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice55.wav|And not to get too far field, but you have criminal court, you have civil court, you have individual village courts, you have the Court of Claims, which is against New York State, you have family court, you have housing court, you know, these quickly grow.| And not to get too far field, but you have criminal court, you have civil court, you have individual village courts, you have the Court of Claims, which is against New York State, you have family court, you have housing court, you know, these quickly grow.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice143.wav|would agree with that for 90% of people that's reducing their fees. But there is the subset, which you alluded to.| would agree with that for 90% of people that's reducing their fees. But there is the subset, which you alluded to.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice11.wav|those have to be nice to them.| those have to be nice to them.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice126.wav|So, you know, I represent an area on the east side and neighboring places that are already very built up and yet still need more housing.| So, you know, I represent an area on the east side and neighboring places that are already very built up and yet still need more housing.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice5.wav|Yeah, I'm actually the first Democrat elected in New York State at any level, state legislature or otherwise, with a degree in computer.| Yeah, I'm actually the first Democrat elected in New York State at any level, state legislature or otherwise, with a degree in computer.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice131.wav|That feels like an obvious change we should make to allow those that want to turn it into housing to do that.| That feels like an obvious change we should make to allow those that want to turn it into housing to do that.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice69.wav|And then people from a public safety perspective saying, wait, someone's arrested, and then they're out awaiting trial and they commit another crime? How is that possible?| And then people from a public safety perspective saying, wait, someone's arrested, and then they're out awaiting trial and they commit another crime? How is that possible?
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice136.wav|If you're worried about a cut in services or you're worried about your taxes going up, I implore you to join the fight for more housing.| If you're worried about a cut in services or you're worried about your taxes going up, I implore you to join the fight for more housing.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice125.wav|dense district. We have 140,000 people in about a square mile. Actually my neighboring Assemblymember Rebecca Seawright, the 76th, is about half a square mile and it is the densest legislative district in the country, not just the state.| dense district. We have 140,000 people in about a square mile. Actually my neighboring Assemblymember Rebecca Seawright, the 76th, is about half a square mile and it is the densest legislative district in the country, not just the state.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice39.wav|Our trials are crazy backlogged. That backlog was growing before the pandemic. It really spiked during it. 2023, we actually had slightly good news.| Our trials are crazy backlogged. That backlog was growing before the pandemic. It really spiked during it. 2023, we actually had slightly good news.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice10.wav|and fellow co-chair of the Future Caucus, and my grandmother's representative.| and fellow co-chair of the Future Caucus, and my grandmother's representative.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice84.wav|And it's not yet coding itself. We haven't reached the singularity for any of sci-fi fans, but well, you could get there.| And it's not yet coding itself. We haven't reached the singularity for any of sci-fi fans, but well, you could get there.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice28.wav|It's a great question. I think a lot of what we'll see in the budget hearings coming up relate to that. And when we're engaging with agencies, when you say, you know, okay, here's the published numbers and here's the budget.| It's a great question. I think a lot of what we'll see in the budget hearings coming up relate to that. And when we're engaging with agencies, when you say, you know, okay, here's the published numbers and here's the budget.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice152.wav|It just makes no sense. And it turns out the reason that some of that is, is we hardly under tax it. No property in.| It just makes no sense. And it turns out the reason that some of that is, is we hardly under tax it. No property in.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice27.wav|And the more that we can kind of show, hey, we want to deal with the ambiguity, we want to deal with the uncertainty, because that will let us make better decisions. The more that trust is built between legislators and experts.| And the more that we can kind of show, hey, we want to deal with the ambiguity, we want to deal with the uncertainty, because that will let us make better decisions. The more that trust is built between legislators and experts.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice114.wav|that, but it'll also be really good for the economy, for jobs, because if the universities can recruit the best AI researchers to New York State, well then that ends up spinning off new companies, that ends up building the whole ecosystem.| that, but it'll also be really good for the economy, for jobs, because if the universities can recruit the best AI researchers to New York State, well then that ends up spinning off new companies, that ends up building the whole ecosystem.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice162.wav|first to defend by assembly colleagues. I mean, the assembly and the Senate came together at the end of session last year with a fairly comprehensive package.| first to defend by assembly colleagues. I mean, the assembly and the Senate came together at the end of session last year with a fairly comprehensive package.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice3.wav|what we can do to continue to grow the economy, to care for those in the district that might be struggling, especially around housing costs.| what we can do to continue to grow the economy, to care for those in the district that might be struggling, especially around housing costs.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice169.wav|if passing individual things is what gets it done, great, but we need to pass things today.| if passing individual things is what gets it done, great, but we need to pass things today.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice68.wav|How this came to me a little bit was during the campaign hearing people from a criminal justice reform perspective talking about how long people were languishing in Rikers and| How this came to me a little bit was during the campaign hearing people from a criminal justice reform perspective talking about how long people were languishing in Rikers and
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice53.wav|But the short version is that there's many different courts within New York. I think the most any other state has is like three or five. You know, you have criminal, civil and appellate, maybe a few others here. And New York has 10, 11, 12 different courts.| But the short version is that there's many different courts within New York. I think the most any other state has is like three or five. You know, you have criminal, civil and appellate, maybe a few others here. And New York has 10, 11, 12 different courts.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice168.wav|You know, I think you can evaluate proposals separately and I realize why compromise is important and why we might need to group a few of these together in order to get a majority on any of them. So if a grand bargain is what gets it done, great.| You know, I think you can evaluate proposals separately and I realize why compromise is important and why we might need to group a few of these together in order to get a majority on any of them. So if a grand bargain is what gets it done, great.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice123.wav|thing and they disclose that they did the right thing they made changes but we're in the very early days of what these programs can do and so| thing and they disclose that they did the right thing they made changes but we're in the very early days of what these programs can do and so
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice105.wav|able to look at the protein folding that it's been able to do. It's going to create incredible economic opportunity. I was actually going to use Empire AI as one of the positive things.| able to look at the protein folding that it's been able to do. It's going to create incredible economic opportunity. I was actually going to use Empire AI as one of the positive things.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice90.wav|The federal government leaves it up to states to regulate their own elections. And so while there's a bill at the federal level to require more disclosure of AI, that would only apply to congressional campaigns or presidential campaigns.| The federal government leaves it up to states to regulate their own elections. And so while there's a bill at the federal level to require more disclosure of AI, that would only apply to congressional campaigns or presidential campaigns.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice154.wav|in the ground in New York City at the market value for a hole in the ground. Not what it will be once it's built up, not its potential, just what it would sell for on the open market today. That would raise an extra $800 million a year for New York City.| in the ground in New York City at the market value for a hole in the ground. Not what it will be once it's built up, not its potential, just what it would sell for on the open market today. That would raise an extra $800 million a year for New York City.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice24.wav|But part of it is being comfortable with legislators enough to say, hey, here are the caveats and here's what we're ensuring.| But part of it is being comfortable with legislators enough to say, hey, here are the caveats and here's what we're ensuring.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice141.wav|hopefully that reduces your costs, hopefully that reduces rents because of the pressure on landlords.| hopefully that reduces your costs, hopefully that reduces rents because of the pressure on landlords.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice60.wav|And so Manhattan has been at the limit for many, many years. The Bronx and Staten Island reached the limit two years ago, and Queens and Brooklyn are coming up close behind.| And so Manhattan has been at the limit for many, many years. The Bronx and Staten Island reached the limit two years ago, and Queens and Brooklyn are coming up close behind.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice171.wav|Yes, I'm for a two track system with that right office conversions are really difficult financially probably only about 3% of offices could actually make it work.| Yes, I'm for a two track system with that right office conversions are really difficult financially probably only about 3% of offices could actually make it work.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice51.wav|So it's important that everyone understands how much this affects your day-to-day, how much this affects just the functioning of government, and why it's so important to support this reform.| So it's important that everyone understands how much this affects your day-to-day, how much this affects just the functioning of government, and why it's so important to support this reform.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice148.wav|I had Braunstein this year to pass a new version of the J51 program that provided tax breaks for people to do necessary repairs. But I want to go even further in saying if this is a| I had Braunstein this year to pass a new version of the J51 program that provided tax breaks for people to do necessary repairs. But I want to go even further in saying if this is a
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice160.wav|reality and they see that, well, there's not many people in Albany that want to raise rents a huge amount. So let's find a way that can actually ensure that our housing stock is cared for, that the owners do have a reason to invest in New York City housing.| reality and they see that, well, there's not many people in Albany that want to raise rents a huge amount. So let's find a way that can actually ensure that our housing stock is cared for, that the owners do have a reason to invest in New York City housing.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice54.wav|And so for 10 of them, 10 of the trial courts, there's no limit on the number of judges in the Constitution. The number of judges is left to the legislature to decide how to keep the court system functioning.| And so for 10 of them, 10 of the trial courts, there's no limit on the number of judges in the Constitution. The number of judges is left to the legislature to decide how to keep the court system functioning.
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice7.wav|Yeah, I'm actually the first Democrat elected in New York State at any level, state legislature or otherwise, with a degree in computer science, a master's degree, specifically| Yeah, I'm actually the first Democrat elected in New York State at any level, state legislature or otherwise, with a degree in computer science, a master's degree, specifically
/home/henryj/deepfake/training_data/MyTTSDataset/wavs/AlexBoresVoice121.wav|and a human signed up, took the job, and actually chatted with OpenAI and said, oh, you're not a robot, are you? Ha, ha.| and a human signed up, took the job, and actually chatted with OpenAI and said, oh, you're not a robot, are you? Ha, ha.
